Sorted mutual_information Scores
Alkaline phosphatase (U/L),0.21970151393518034
Alpha-Fetoprotein (ng/mL),0.1785779789615316
Ferritin (ng/mL),0.1332457775745719
Performance Status*,0.09829093256343668
Cirrhosis,0.0794953837397423
Iron,0.07600754027476686
Haemoglobin (g/dL),0.06768935586826474
Major dimension of nodule (cm),0.062320978962607354
Platelets,0.05660096383997515
Alanine transaminase (U/L),0.05078464631911217
Packs of cigarets per year,0.04333581989301294
Albumin (mg/dL),0.03910766056402948
Number of Nodules,0.03586372499444712
Hemochromatosis,0.03555675923293622
Smoking,0.03489320561483722
International Normalised Ratio*,0.03193984213339873
Aspartate transaminase (U/L),0.031612900061804616
Hepatitis B Core Antibody,0.029939187559214098
Total Bilirubin(mg/dL),0.026900024553473845
Endemic Countries,0.0254562084171448
Human Immunodeficiency Virus,0.021575879002055487
Arterial Hypertension,0.0208637843527959
Liver Metastasis,0.02037938891272839
Ascites degree*,0.01854832203733303
Encephalopathy degree*,0.018500810131532264
Symptoms ,0.016246927650377163
Leukocytes(G/L),0.014162557771890238
Oxygen Saturation (%),0.0049811116300639835
Chronic Renal Insufficiency,0.0006476658011156378
Alcohol,0.0
Hepatitis B Surface Antigen,0.0
Hepatitis B e Antigen,0.0
Hepatitis C Virus Antibody,0.0
Diabetes,0.0
Obesity,0.0
Nonalcoholic Steatohepatitis,0.0
Esophageal Varices,0.0
Splenomegaly,0.0
Portal Hypertension,0.0
Portal Vein Thrombosis,0.0
Radiological Hallmark,0.0
Grams of Alcohol per day,0.0
Mean Corpuscular Volume,0.0
Gamma glutamyl transferase (U/L),0.0
Total Proteins (g/dL),0.0
Creatinine (mg/dL),0.0
Direct Bilirubin (mg/dL),0.0
