Sorted mutual_information Scores
Albumin (mg/dL),0.19538409433311998
Esophageal Varices,0.12708137328682412
Splenomegaly,0.11789714611877722
Mean Corpuscular Volume,0.10693531902727149
Alkaline phosphatase (U/L),0.08416787822057392
Ascites degree*,0.08249233721938709
Performance Status*,0.07889673842234735
Endemic Countries,0.07489961057585792
Cirrhosis,0.07417678819387463
Iron,0.07232538909261566
Major dimension of nodule (cm),0.06803445830154486
Alpha-Fetoprotein (ng/mL),0.0660057943973531
Hepatitis B Core Antibody,0.06388166664875272
Oxygen Saturation (%),0.060822050595664034
Haemoglobin (g/dL),0.06075732138995238
Portal Vein Thrombosis,0.04408927192461065
Gender,0.04294415812575303
Encephalopathy degree*,0.0386491068380963
Hepatitis C Virus Antibody,0.035951698713507785
Obesity,0.0349648600447805
Total Bilirubin(mg/dL),0.034752639110633865
Aspartate transaminase (U/L),0.027651447215967018
Smoking,0.027549560578470578
Portal Hypertension,0.025102894915435492
Symptoms ,0.018166511529924545
Grams of Alcohol per day,0.011104178984901347
Ferritin (ng/mL),0.00513106119360196
Alcohol,0.0
Hepatitis B Surface Antigen,0.0
Hepatitis B e Antigen,0.0
Diabetes,0.0
Hemochromatosis,0.0
Arterial Hypertension,0.0
Chronic Renal Insufficiency,0.0
Human Immunodeficiency Virus,0.0
Nonalcoholic Steatohepatitis,0.0
Liver Metastasis,0.0
Radiological Hallmark,0.0
Age at diagnosis,0.0
Packs of cigarets per year,0.0
International Normalised Ratio*,0.0
Leukocytes(G/L),0.0
Platelets,0.0
Alanine transaminase (U/L),0.0
Gamma glutamyl transferase (U/L),0.0
Total Proteins (g/dL),0.0
Creatinine (mg/dL),0.0
Number of Nodules,0.0
Direct Bilirubin (mg/dL),0.0
